,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_06_v1,39451,39650,1,[  3  96 516],[0],[],"[0.004878048780487805, 0.15609756097560976, 0.8390243902439024]",3,0.46314364303350497,0.27164782867340875
1,PvP01_06_v1,40251,40450,1,[481   2 132],[],[1],"[0.7821138211382114, 0.0032520325203252032, 0.2146341463414634]",3,0.541120958760352,0.34221957829334404
2,PvP01_06_v1,44701,44900,1,[  1 114   1 499],[0],[2],"[0.0016260162601626016, 0.18536585365853658, 0.0016260162601626016, 0.8113821138211382]",4,0.50289533301468,0.3072932778108268
3,PvP01_06_v1,56551,56750,2,[266  40   6   1   8 294],[],"[2, 3]","[0.432520325203252, 0.06504065040650407, 0.00975609756097561, 0.0016260162601626016, 0.013008130081300813, 0.47804878048780486]",6,1.0051609067546987,0.579898208738185
4,PvP01_06_v1,56601,56800,3,[250  16  40   2   1   3   1   8  24 270],[],"[3, 4, 5, 6]","[0.4065040650406504, 0.026016260162601626, 0.06504065040650407, 0.0032520325203252032, 0.0016260162601626016, 0.004878048780487805, 0.0016260162601626016, 0.013008130081300813, 0.03902439024390244, 0.43902439024390244]",10,1.248538183896875,0.6353731244629519
5,PvP01_06_v1,56751,56950,1,[324   2 289],[],[1],"[0.526829268292683, 0.0032520325203252032, 0.46991869918699186]",3,0.7111433957051723,0.5016167625090885
6,PvP01_06_v1,58101,58300,1,[  2 545   1  67],[0],[2],"[0.0032520325203252032, 0.8861788617886179, 0.0016260162601626016, 0.10894308943089431]",4,0.37767274268166806,0.20280520853989026
7,PvP01_06_v1,58201,58400,2,[  2   1 471   2  71   1  61   6],"[0, 1]","[3, 5]","[0.0032520325203252032, 0.0016260162601626016, 0.7658536585365854, 0.0032520325203252032, 0.11544715447154472, 0.0016260162601626016, 0.0991869918699187, 0.00975609756097561]",8,0.78605334942628,0.3901804481459449
8,PvP01_06_v1,58301,58500,1,[  1 535   2  77],[0],[2],"[0.0016260162601626016, 0.8699186991869918, 0.0032520325203252032, 0.12520325203252033]",4,0.4104482492159211,0.22755238284090173
9,PvP01_06_v1,58501,58700,1,[181   2 432],[],[1],"[0.2943089430894309, 0.0032520325203252032, 0.7024390243902439]",3,0.626705013917591,0.41995108731575126
10,PvP01_06_v1,59201,59400,2,[133   3 313   1   1   9 155],[],"[1, 3, 4]","[0.216260162601626, 0.004878048780487805, 0.5089430894308943, 0.0016260162601626016, 0.0016260162601626016, 0.014634146341463415, 0.25203252032520324]",7,1.1309234322340385,0.6304448410337762
11,PvP01_06_v1,63851,64050,1,[548   1  66],[],[1],"[0.8910569105691057, 0.0016260162601626016, 0.1073170731707317]",3,0.35275060891016563,0.19449798400423024
12,PvP01_06_v1,67351,67550,1,[338   2 275],[],[1],"[0.5495934959349593, 0.0032520325203252032, 0.44715447154471544]",3,0.70749566798101,0.4979892920880429
13,PvP01_06_v1,70151,70350,1,[  1 322   1 291],[0],[2],"[0.0016260162601626016, 0.5235772357723577, 0.0016260162601626016, 0.47317073170731705]",4,0.7137480102256988,0.5019710489787825
14,PvP01_06_v1,70851,71050,2,[ 35 322  82   4   1 165   6],[0],"[3, 4]","[0.056910569105691054, 0.5235772357723577, 0.13333333333333333, 0.0065040650406504065, 0.0016260162601626016, 0.2682926829268293, 0.00975609756097561]",7,1.211914144966613,0.6327291955846387
15,PvP01_06_v1,71301,71500,1,[  2 511   2 100],[0],[2],"[0.0032520325203252032, 0.8308943089430895, 0.0032520325203252032, 0.16260162601626016]",4,0.4865418321721408,0.2831542071518276
16,PvP01_06_v1,77801,78000,1,[ 36 447   4 128],[0],[2],"[0.05853658536585366, 0.7268292682926829, 0.0065040650406504065, 0.208130081300813]",4,0.7574671055254191,0.4249322493224933
17,PvP01_06_v1,79401,79600,2,[  1 215   8  43   2 346],[0],"[2, 4]","[0.0016260162601626016, 0.34959349593495936, 0.013008130081300813, 0.06991869918699187, 0.0032520325203252032, 0.5626016260162602]",6,0.9625841801857019,0.556192742415229
18,PvP01_06_v1,79551,79750,3,[  1 120   1  94   8  43   2 344   2],[0],"[2, 4, 6]","[0.0016260162601626016, 0.1951219512195122, 0.0016260162601626016, 0.15284552845528454, 0.013008130081300813, 0.06991869918699187, 0.0032520325203252032, 0.5593495934959349, 0.0032520325203252032]",9,1.2315585688891575,0.6206094256064512
19,PvP01_06_v1,79601,79800,1,[518   1  96],[],[1],"[0.8422764227642277, 0.0016260162601626016, 0.15609756097560976]",3,0.44493185825964876,0.2662013351840835
20,PvP01_06_v1,80151,80350,1,[  7 535  73],[0],[],"[0.011382113821138212, 0.8699186991869918, 0.11869918699186992]",3,0.42513833311288657,0.22902240729724377
21,PvP01_06_v1,87601,87800,1,[397   1 217],[],[1],"[0.6455284552845528, 0.0016260162601626016, 0.35284552845528455]",3,0.6605483992681531,0.4587904025381717
22,PvP01_06_v1,87651,87850,4,[  1 105   1 129   1 104   4   1   2   1   4   1  43   1 198   1  18],"[0, 9]","[2, 4, 7, 8, 11, 13, 15]","[0.0016260162601626016, 0.17073170731707318, 0.0016260162601626016, 0.2097560975609756, 0.0016260162601626016, 0.16910569105691056, 0.0065040650406504065, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.0065040650406504065, 0.0016260162601626016, 0.06991869918699187, 0.0016260162601626016, 0.32195121951219513, 0.0016260162601626016, 0.02926829268292683]",17,1.7518497338480632,0.7887421508361425
23,PvP01_06_v1,87701,87900,7,"[  1  98   7   1 125   4   1 104   4   1   2   1   4   1  41   1   1   1
   1  21 176   1  18]","[0, 11, 18]","[3, 6, 9, 10, 13, 15, 17, 21]","[0.0016260162601626016, 0.15934959349593497, 0.011382113821138212, 0.0016260162601626016, 0.2032520325203252, 0.0065040650406504065, 0.0016260162601626016, 0.16910569105691056, 0.0065040650406504065, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.0065040650406504065, 0.0016260162601626016, 0.06666666666666667, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.03414634146341464, 0.2861788617886179, 0.0016260162601626016, 0.02926829268292683]",23,1.9569894515186053,0.8160380725758477
