,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_13_v1,31701,31900,1,[208   6 401],[],[1],"[0.3382113821138211, 0.00975609756097561, 0.6520325203252032]",3,0.6906677804192387,0.460371472007403
1,PvP01_13_v1,32001,32200,1,[  2 164   3 446],[0],[2],"[0.0032520325203252032, 0.26666666666666666, 0.004878048780487805, 0.7252032520325203]",4,0.6300735231053125,0.40293476105492765
2,PvP01_13_v1,34601,34800,2,[  1 181   1 326   2   2   1 101],[0],"[2, 4, 5]","[0.0016260162601626016, 0.2943089430894309, 0.0016260162601626016, 0.5300813008130081, 0.0032520325203252032, 0.0032520325203252032, 0.0016260162601626016, 0.16422764227642275]",8,1.0616933736473828,0.6053962588406372
3,PvP01_13_v1,41701,41900,1,[441   2 172],[],[1],"[0.7170731707317073, 0.0032520325203252032, 0.27967479674796747]",3,0.6134529435055538,0.40757750016524574
4,PvP01_13_v1,43701,43900,1,[  1 184   7 423],[0],[2],"[0.0016260162601626016, 0.2991869918699187, 0.011382113821138212, 0.6878048780487804]",4,0.6798206707658413,0.4372793971842158
5,PvP01_13_v1,49101,49300,1,[481   1 133],[],[1],"[0.7821138211382114, 0.0016260162601626016, 0.216260162601626]",3,0.5338034206937303,0.34152686892722595
6,PvP01_13_v1,54001,54200,1,[466   5 144],[],[1],"[0.7577235772357723, 0.008130081300813009, 0.23414634146341465]",3,0.5892794869875495,0.3709643730583648
7,PvP01_13_v1,56751,56950,1,[  3 505   2 105],[0],[2],"[0.004878048780487805, 0.8211382113821138, 0.0032520325203252032, 0.17073170731707318]",4,0.5082076746720124,0.29654835084936215
8,PvP01_13_v1,59351,59550,1,[538   2  75],[],[1],"[0.8747967479674796, 0.0032520325203252032, 0.12195121951219512]",3,0.39224696984979723,0.21984797408949708
9,PvP01_13_v1,63701,63900,1,[327   6 282],[],[1],"[0.5317073170731708, 0.00975609756097561, 0.4585365853658537]",3,0.7385566959312038,0.5069363474122546
