,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_03_v1,108351,108550,2,[  1 523   1   1   1  16  72],[0],"[3, 4]","[0.0016260162601626016, 0.8504065040650407, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.026016260162601626, 0.11707317073170732]",7,0.5256182258049777,0.2624152290303391
1,PvP01_03_v1,108451,108650,3,[  1 479  44   1   1   1  16   8   1  63],[0],"[4, 5, 8]","[0.0016260162601626016, 0.7788617886178861, 0.07154471544715447, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.026016260162601626, 0.013008130081300813, 0.0016260162601626016, 0.1024390243902439]",10,0.820381016255016,0.3769026373190564
2,PvP01_03_v1,108551,108750,1,[505   2 108],[],[1],"[0.8211382113821138, 0.0032520325203252032, 0.17560975609756097]",3,0.48591743256327835,0.2948826756560249
3,PvP01_03_v1,108601,108800,2,[  1 350   1 153   2  98  10],[0],"[2, 4]","[0.0016260162601626016, 0.5691056910569106, 0.0016260162601626016, 0.24878048780487805, 0.0032520325203252032, 0.15934959349593497, 0.016260162601626018]",7,1.0660571226959004,0.5885544318857823
4,PvP01_03_v1,108651,108850,2,[  1 436   1  13   1  37   2 124],[0],"[2, 4, 6]","[0.0016260162601626016, 0.7089430894308943, 0.0016260162601626016, 0.02113821138211382, 0.0016260162601626016, 0.06016260162601626, 0.0032520325203252032, 0.2016260162601626]",8,0.8673108352680468,0.4526617753982417
5,PvP01_03_v1,108701,108900,3,[  1 427   9   1   1  12   1  36   1   1   1  13   3 108],[0],"[3, 6, 9, 10, 12]","[0.0016260162601626016, 0.6943089430894309, 0.014634146341463415, 0.0016260162601626016, 0.0016260162601626016, 0.01951219512195122, 0.0016260162601626016, 0.05853658536585366, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.02113821138211382, 0.004878048780487805, 0.17560975609756097]",14,1.044130060539941,0.48258576244299023
6,PvP01_03_v1,108801,109000,2,[463  10   2   1   1  14   3 121],[],"[2, 3, 4, 6]","[0.7528455284552845, 0.016260162601626018, 0.0032520325203252032, 0.0016260162601626016, 0.0016260162601626016, 0.022764227642276424, 0.004878048780487805, 0.1967479674796748]",8,0.7521701266182085,0.3936915856963449
7,PvP01_03_v1,108851,109050,1,[479   4 132],[],[1],"[0.7788617886178861, 0.0065040650406504065, 0.2146341463414634]",3,0.557687930593983,0.3472641945931656
8,PvP01_03_v1,110651,110850,1,[  1 417   4 193],[0],[2],"[0.0016260162601626016, 0.6780487804878049, 0.0065040650406504065, 0.31382113821138213]",4,0.6703355387118468,0.4417211976997818
9,PvP01_03_v1,110851,111050,1,[352   4 259],[],[1],"[0.5723577235772358, 0.0065040650406504065, 0.4211382113821138]",3,0.7163184966923877,0.4950069403133055
10,PvP01_03_v1,111001,111200,2,[241   1 110   4   1 167   2  89],[4],"[1, 3, 6]","[0.39186991869918697, 0.0016260162601626016, 0.17886178861788618, 0.0065040650406504065, 0.0016260162601626016, 0.27154471544715447, 0.0032520325203252032, 0.14471544715447154]",8,1.3809491351337184,0.7197091678233856
