,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_09_v1,255701,255900,1,[  2 371 242],[0],[],"[0.0032520325203252032, 0.6032520325203252, 0.3934959349593496]",3,0.690532529077418,0.4812373587150506
1,PvP01_09_v1,263151,263350,1,[500   2 113],[],[1],"[0.8130081300813008, 0.0032520325203252032, 0.183739837398374]",3,0.4982317522183711,0.30524687685901264
2,PvP01_09_v1,264051,264250,1,[  2 103   4 506],[0],[2],"[0.0032520325203252032, 0.16747967479674797, 0.0065040650406504065, 0.8227642276422764]",4,0.5111570446313805,0.2949567056646176
3,PvP01_09_v1,264101,264300,2,[  1   1  70   1  32   1   1   2   1 103   1 401],"[0, 1, 8]","[3, 5, 6, 7, 10]","[0.0016260162601626016, 0.0016260162601626016, 0.11382113821138211, 0.0016260162601626016, 0.05203252032520325, 0.0016260162601626016, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.16747967479674797, 0.0016260162601626016, 0.6520325203252032]",12,1.0709879127955375,0.5311124330755503
4,PvP01_09_v1,264201,264400,3,"[  1   1   1  32  37   1  15  17   1   1   1   1   1  46   1  56   1 214
   4 183]","[0, 1, 2, 12]","[1, 5, 8, 9, 10, 11, 14, 16, 18]","[0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.05203252032520325, 0.06016260162601626, 0.0016260162601626016, 0.024390243902439025, 0.027642276422764227, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.07479674796747968, 0.0016260162601626016, 0.0910569105691057, 0.0016260162601626016, 0.34796747967479674, 0.0065040650406504065, 0.2975609756097561]",20,1.800435111592341,0.7687328970850684
5,PvP01_09_v1,264251,264450,2,[  1   1   1  78   2  94   1   2 230   4 201],"[0, 1, 2]","[4, 6, 7, 9]","[0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.12682926829268293, 0.0032520325203252032, 0.15284552845528454, 0.0016260162601626016, 0.0032520325203252032, 0.37398373983739835, 0.0065040650406504065, 0.32682926829268294]",11,1.3940884600762788,0.7137973428514773
6,PvP01_09_v1,264301,264500,1,[  1 310   6 298],[0],[2],"[0.0016260162601626016, 0.5040650406504065, 0.00975609756097561, 0.4845528455284553]",4,0.7519932791682604,0.5110291493158834
7,PvP01_09_v1,264451,264650,4,[  1 257   4  12   3   1 337],[0],"[2, 4]","[0.0016260162601626016, 0.41788617886178864, 0.0065040650406504065, 0.01951219512195122, 0.004878048780487805, 0.0016260162601626016, 0.5479674796747968]",7,0.8506622751971564,0.5246506708969529
8,PvP01_09_v1,264501,264700,9,[  1 236  12   1   8   4  12   1   1   1   1   1  36   1  15   2   4 278],[0],"[3, 5, 7, 8, 9, 11]","[0.0016260162601626016, 0.383739837398374, 0.01951219512195122, 0.0016260162601626016, 0.013008130081300813, 0.0065040650406504065, 0.01951219512195122, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.05853658536585366, 0.0016260162601626016, 0.024390243902439025, 0.0032520325203252032, 0.0065040650406504065, 0.45203252032520325]",18,1.3609387693163977,0.6433419261021879
9,PvP01_09_v1,264551,264750,10,"[  1 187  49  12   1   3   5   4  10   2   1   1   1   1   1  28   8   1
  15   2   4   4 274]",[0],"[4, 7, 10, 11, 12, 14]","[0.0016260162601626016, 0.3040650406504065, 0.07967479674796749, 0.01951219512195122, 0.0016260162601626016, 0.004878048780487805, 0.008130081300813009, 0.0065040650406504065, 0.016260162601626018, 0.0032520325203252032, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.04552845528455285, 0.013008130081300813, 0.0016260162601626016, 0.024390243902439025, 0.0032520325203252032, 0.0065040650406504065, 0.0065040650406504065, 0.44552845528455287]",23,1.6393986955208484,0.6989596139863837
