,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_02_v1,101101,101300,1,[551   2  62],[],[1],"[0.8959349593495934, 0.0032520325203252032, 0.1008130081300813]",3,0.34839542865664563,0.1871267102914933
1,PvP01_02_v1,101351,101550,1,[454   1 160],[],[1],"[0.7382113821138211, 0.0016260162601626016, 0.2601626016260163]",3,0.5848028558582508,0.3873567321039064
2,PvP01_02_v1,101401,101600,2,[270 184   1   3 157],[],[2],"[0.43902439024390244, 0.2991869918699187, 0.0016260162601626016, 0.004878048780487805, 0.2552845528455285]",5,1.1073970049848865,0.6525480864564743
3,PvP01_02_v1,101451,101650,3,[266   1   3   1  76   2 105   1   3  70  87],[3],"[1, 5, 7]","[0.432520325203252, 0.0016260162601626016, 0.004878048780487805, 0.0016260162601626016, 0.12357723577235773, 0.0032520325203252032, 0.17073170731707318, 0.0016260162601626016, 0.004878048780487805, 0.11382113821138211, 0.14146341463414633]",11,1.5485844952475496,0.7354722717958887
4,PvP01_02_v1,101551,101750,3,[234  35   1   3   1  79  67   2  27 166],[4],"[2, 7]","[0.3804878048780488, 0.056910569105691054, 0.0016260162601626016, 0.004878048780487805, 0.0016260162601626016, 0.12845528455284552, 0.10894308943089431, 0.0032520325203252032, 0.04390243902439024, 0.26991869918699185]",10,1.5921217662352198,0.7487976733425871
5,PvP01_02_v1,101601,101800,2,[  1 313 102   3  27 169],[0],[3],"[0.0016260162601626016, 0.5089430894308943, 0.16585365853658537, 0.004878048780487805, 0.04390243902439024, 0.27479674796747966]",6,1.170329356157438,0.6360023795359905
6,PvP01_02_v1,101651,101850,1,[343 272],[],[],"[0.5577235772357724, 0.44227642276422763]",2,0.6864682752692355,0.4933359772622117
7,PvP01_02_v1,111401,111600,1,[376   4 235],[],[1],"[0.6113821138211382, 0.0065040650406504065, 0.3821138211382114]",3,0.7011778918992704,0.4801586357326988
8,PvP01_02_v1,117001,117200,1,[  5 137   4 469],[0],[2],"[0.008130081300813009, 0.22276422764227644, 0.0065040650406504065, 0.7626016260162601]",4,0.6130654348855289,0.3687064577962853
9,PvP01_02_v1,118551,118750,1,[284   3 328],[],[1],"[0.46178861788617886, 0.004878048780487805, 0.5333333333333333]",3,0.7180239197515814,0.5022830325864234
10,PvP01_02_v1,121151,121350,1,[  1 120   3 491],[0],[2],"[0.0016260162601626016, 0.1951219512195122, 0.004878048780487805, 0.7983739837398374]",4,0.5350386698439822,0.3244999669508891
11,PvP01_02_v1,126651,126850,1,[  2 328   6 279],[0],[2],"[0.0032520325203252032, 0.5333333333333333, 0.00975609756097561, 0.45365853658536587]",4,0.7576329964981465,0.5096437305836472
12,PvP01_02_v1,126801,127000,2,[  2 192   2 134   4   1   1 187  92],[0],"[2, 4, 5, 6]","[0.0032520325203252032, 0.3121951219512195, 0.0032520325203252032, 0.21788617886178863, 0.0065040650406504065, 0.0016260162601626016, 0.0016260162601626016, 0.3040650406504065, 0.14959349593495935]",9,1.4325340219044125,0.7401573137682596
13,PvP01_02_v1,126851,127050,1,[385   3 227],[],[1],"[0.6260162601626016, 0.004878048780487805, 0.36910569105691055]",3,0.6870561303511038,0.47184083548152556
14,PvP01_02_v1,134351,134550,1,[  2 521   1  91],[0],[2],"[0.0032520325203252032, 0.8471544715447155, 0.0016260162601626016, 0.14796747967479676]",4,0.45232099755016436,0.260421706656091
15,PvP01_02_v1,135151,135350,1,[  4 432   3 176],[0],[2],"[0.0065040650406504065, 0.7024390243902439, 0.004878048780487805, 0.2861788617886179]",4,0.6648644603940719,0.4246149778570957
16,PvP01_02_v1,136251,136450,5,"[ 33   3   2   1   6   1   1   1   1   2   1  87   2   5   4   1   2   2
   4   3 453]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 17]","[5, 12, 13, 14, 15, 16, 19]","[0.05365853658536585, 0.004878048780487805, 0.0032520325203252032, 0.0016260162601626016, 0.00975609756097561, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.14146341463414633, 0.0032520325203252032, 0.008130081300813009, 0.0065040650406504065, 0.0016260162601626016, 0.0032520325203252032, 0.0032520325203252032, 0.0065040650406504065, 0.004878048780487805, 0.7365853658536585]",21,1.0267781450434883,0.4341860003965894
17,PvP01_02_v1,136301,136500,6,"[ 24   9   1   2   2   1   6   1   1   1   1   2   1   3  83   1   2   1
   4   3   1   1   1   1   2   2   1   1   3   1  15   1 436]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 24, 29]","[7, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 31]","[0.03902439024390244, 0.014634146341463415, 0.0016260162601626016, 0.0032520325203252032, 0.0032520325203252032, 0.0016260162601626016, 0.00975609756097561, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.004878048780487805, 0.13495934959349593, 0.0016260162601626016, 0.0032520325203252032, 0.0016260162601626016, 0.0065040650406504065, 0.004878048780487805, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.0032520325203252032, 0.0032520325203252032, 0.0016260162601626016, 0.0016260162601626016, 0.004878048780487805, 0.0016260162601626016, 0.024390243902439025, 0.0016260162601626016, 0.7089430894308943]",33,1.2382306162410113,0.4765364531694096
18,PvP01_02_v1,136451,136650,1,[ 32 129   7 447],[0],[2],"[0.05203252032520325, 0.2097560975609756, 0.011382113821138212, 0.7268292682926829]",4,0.7642492403465189,0.42488465860268365
19,PvP01_02_v1,140151,140350,1,[527   2  86],[],[1],"[0.8569105691056911, 0.0032520325203252032, 0.13983739837398373]",3,0.4260534045216081,0.24613920285544322
