,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_05_v1,143551,143750,1,[  2 410   3 200],[0],[2],"[0.0032520325203252032, 0.6666666666666666, 0.004878048780487805, 0.3252032520325203]",4,0.680207568598296,0.4497640293476106
1,PvP01_05_v1,146201,146400,1,[199   5 411],[],[1],"[0.3235772357723577, 0.008130081300813009, 0.6682926829268293]",3,0.6735626566840838,0.44861656421442264
2,PvP01_05_v1,146351,146550,3,[  2 184   1  12   2   3 198   6   1 206],[0],"[2, 4, 5, 7, 8]","[0.0032520325203252032, 0.2991869918699187, 0.0016260162601626016, 0.01951219512195122, 0.0032520325203252032, 0.004878048780487805, 0.32195121951219513, 0.00975609756097561, 0.0016260162601626016, 0.33495934959349594]",10,1.2983614475637641,0.6941106484235574
3,PvP01_05_v1,146401,146600,2,[  2 384   7   1 221],[0],"[2, 3]","[0.0032520325203252032, 0.624390243902439, 0.011382113821138212, 0.0016260162601626016, 0.359349593495935]",5,0.7418688326299039,0.4808619208143301
4,PvP01_05_v1,146501,146700,3,[  2   1 199   1 183   2   5   1   1  15   4 201],"[0, 1, 8]","[3, 5, 6, 7, 10]","[0.0032520325203252032, 0.0016260162601626016, 0.3235772357723577, 0.0016260162601626016, 0.2975609756097561, 0.0032520325203252032, 0.008130081300813009, 0.0016260162601626016, 0.0016260162601626016, 0.024390243902439025, 0.0065040650406504065, 0.32682926829268294]",12,1.3327545908057843,0.6992028554431886
5,PvP01_05_v1,146551,146750,1,[  2 216   5 392],[0],[2],"[0.0032520325203252032, 0.35121951219512193, 0.008130081300813009, 0.6373983739837399]",4,0.7123080219838652,0.470291493158834
6,PvP01_05_v1,151451,151650,1,[422   3 190],[],[1],"[0.6861788617886179, 0.004878048780487805, 0.3089430894308943]",3,0.647276490408642,0.43368894176746653
7,PvP01_05_v1,151501,151700,2,[  1  82   5 334   3   3 187],[0],"[2, 4]","[0.0016260162601626016, 0.13333333333333333, 0.008130081300813009, 0.5430894308943089, 0.004878048780487805, 0.004878048780487805, 0.3040650406504065]",7,1.0636901628050972,0.5947042104567387
8,PvP01_05_v1,151601,151800,3,[  1  38   2  42   5 270   1  63   2   1   3 178   9],[0],"[2, 4, 6, 8, 9]","[0.0016260162601626016, 0.061788617886178863, 0.0032520325203252032, 0.06829268292682927, 0.008130081300813009, 0.43902439024390244, 0.0016260162601626016, 0.1024390243902439, 0.0032520325203252032, 0.0016260162601626016, 0.004878048780487805, 0.2894308943089431, 0.014634146341463415]",13,1.5044679214192602,0.704178729592174
9,PvP01_05_v1,151651,151850,3,[  1  38   2  45   5   2 277 171   1  72   1],"[0, 5]","[2, 4, 8]","[0.0016260162601626016, 0.061788617886178863, 0.0032520325203252032, 0.07317073170731707, 0.008130081300813009, 0.0032520325203252032, 0.4504065040650406, 0.2780487804878049, 0.0016260162601626016, 0.11707317073170732, 0.0016260162601626016]",11,1.4373212233533783,0.6968497587414898
