,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,28721,28920,5,"[  1   1 210  18   1   2  48  50   1   2   1   1   3   1   1   1 203  16
   1  69  63]","[0, 1, 8]","[4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 18]","[0.001440922190201729, 0.001440922190201729, 0.3025936599423631, 0.025936599423631124, 0.001440922190201729, 0.002881844380403458, 0.069164265129683, 0.07204610951008646, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.29250720461095103, 0.023054755043227664, 0.001440922190201729, 0.0994236311239193, 0.09077809798270893]",21,1.876017252499274,0.7935162653954438
1,28771,28970,4,[  1   1 370  47   8  27   2   1   1   1  93  27   1  45  69],"[0, 1]","[6, 7, 8, 9, 12]","[0.001440922190201729, 0.001440922190201729, 0.5331412103746398, 0.06772334293948126, 0.011527377521613832, 0.03890489913544669, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.1340057636887608, 0.03890489913544669, 0.001440922190201729, 0.06484149855907781, 0.0994236311239193]",15,1.5713840922856905,0.6759461502047188
2,28821,29020,5,"[  1   1   1 369   1  46   8  27   2   1   1   1  85   8  27   1   1  41
   3  69]","[0, 1, 2, 16]","[8, 9, 10, 11, 15]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.531700288184438, 0.001440922190201729, 0.06628242074927954, 0.011527377521613832, 0.03890489913544669, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.12247838616714697, 0.011527377521613832, 0.03890489913544669, 0.001440922190201729, 0.001440922190201729, 0.059077809798270896, 0.004322766570605188, 0.0994236311239193]",20,1.6503033540205616,0.6811866222624554
3,28921,29120,2,[  2 508  11   2   1   1 169],[0],"[3, 5]","[0.002881844380403458, 0.7319884726224783, 0.01585014409221902, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.24351585014409222]",7,0.6906176450674817,0.40462091704108505
4,28971,29170,1,[  2 509   3 180],[0],[2],"[0.002881844380403458, 0.7334293948126801, 0.004322766570605188, 0.25936599423631124]",4,0.617788380086663,0.39478361252065886
5,29021,29220,2,[  1 559   1   7   1   1 124],[0],"[3, 5]","[0.001440922190201729, 0.8054755043227666, 0.001440922190201729, 0.010086455331412104, 0.001440922190201729, 0.001440922190201729, 0.1786743515850144]",7,0.566025504206931,0.31917464641347415
6,29071,29270,3,[  1 469   2  88   1   6   1   1   1 111  13],[0],"[2, 5, 6, 8]","[0.001440922190201729, 0.6757925072046109, 0.002881844380403458, 0.12680115273775217, 0.001440922190201729, 0.008645533141210375, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.15994236311239193, 0.018731988472622477]",11,0.999420976004579,0.5012000764062488
7,29121,29320,4,[  1   2 318   5 144   1   1  80   8   1   6   1   1   1 108   3  13],"[0, 1]","[3, 5, 6, 10, 11, 13]","[0.001440922190201729, 0.002881844380403458, 0.45821325648414984, 0.007204610951008645, 0.207492795389049, 0.001440922190201729, 0.001440922190201729, 0.11527377521613832, 0.011527377521613832, 0.001440922190201729, 0.008645533141210375, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.15561959654178675, 0.004322766570605188, 0.018731988472622477]",17,1.5314092663404235,0.70882990474134
8,29221,29420,2,[  2 435   5 147   2   1  94   8],[0],"[2, 4, 5]","[0.002881844380403458, 0.6268011527377522, 0.007204610951008645, 0.21181556195965417, 0.002881844380403458, 0.001440922190201729, 0.13544668587896252, 0.011527377521613832]",8,1.0224515946115866,0.5437052047604416
9,29271,29470,1,[  2 531   5 156],[0],[2],"[0.002881844380403458, 0.7651296829971181, 0.007204610951008645, 0.22478386167146974]",4,0.5927462338012026,0.3639885722828028
10,29371,29570,5,[  3   1 311   3 242   1  34   1   1   3  94],"[0, 1]","[3, 5, 7, 8]","[0.004322766570605188, 0.001440922190201729, 0.44812680115273773, 0.004322766570605188, 0.34870317002881845, 0.001440922190201729, 0.04899135446685879, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.13544668587896252]",11,1.2539244051955611,0.6567781478128711
11,29421,29620,6,[  1   2   1 298  13   3 211   1  30   1   4  30   1   1   3  38  56],"[0, 1, 2]","[5, 7, 9, 12, 13]","[0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.42939481268011526, 0.018731988472622477, 0.004322766570605188, 0.30403458213256485, 0.001440922190201729, 0.043227665706051875, 0.001440922190201729, 0.005763688760806916, 0.043227665706051875, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.05475504322766571, 0.08069164265129683]",17,1.583447142095898,0.709494306903969
12,29471,29670,7,[  1   2   1 298  13   3 211   1   4  26   1   4  30   1   1   3  38  56],"[0, 1, 2]","[5, 7, 10, 13, 14]","[0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.42939481268011526, 0.018731988472622477, 0.004322766570605188, 0.30403458213256485, 0.001440922190201729, 0.005763688760806916, 0.037463976945244955, 0.001440922190201729, 0.005763688760806916, 0.043227665706051875, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.05475504322766571, 0.08069164265129683]",18,1.6004215426965127,0.7099261683096779
13,29571,29770,3,[  1   1   3 430   7 120   1   1   4  48   1  77],"[0, 1, 2]","[4, 6, 7, 10]","[0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.6195965417867435, 0.010086455331412104, 0.1729106628242075, 0.001440922190201729, 0.001440922190201729, 0.005763688760806916, 0.069164265129683, 0.001440922190201729, 0.11095100864553314]",12,1.1754983290519045,0.5689441819133121
14,29621,29820,4,[  1   1   2   1 433   1   6   1   4   2 114   1   1  48   1   1  76],"[0, 1, 2, 3]","[5, 6, 7, 9, 11, 12, 14]","[0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.6239193083573487, 0.001440922190201729, 0.008645533141210375, 0.001440922190201729, 0.005763688760806916, 0.002881844380403458, 0.1642651296829971, 0.001440922190201729, 0.001440922190201729, 0.069164265129683, 0.001440922190201729, 0.001440922190201729, 0.10951008645533142]",17,1.2073454983894008,0.5668222475064156
15,29671,29870,7,"[  1   2   1   1   1   1   1   1 366   1 111   1   2   2   3   1   1   2
   1   2   1   1  12   3   1  28 146]","[0, 1, 2, 3, 4, 5, 6, 7]","[9, 11, 12, 13, 14, 15, 16, 18, 20, 21, 23, 24]","[0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.5273775216138329, 0.001440922190201729, 0.15994236311239193, 0.001440922190201729, 0.002881844380403458, 0.002881844380403458, 0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.01729106628242075, 0.004322766570605188, 0.001440922190201729, 0.040345821325648415, 0.21037463976945245]",27,1.4309849709391447,0.6499970932405383
