,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,255884,256083,1,[  3 410 281],[0],[],"[0.004322766570605188, 0.590778097982709, 0.4048991354466859]",3,0.7005441011046261,0.4870192427476351
1,263134,263333,1,[  2 616   1  75],[0],[2],"[0.002881844380403458, 0.8876080691642652, 0.001440922190201729, 0.10806916426512968]",4,0.37256125097799847,0.2004625900057304
2,263184,263383,2,[  2 489   2 125   1  75],[0],"[2, 4]","[0.002881844380403458, 0.7046109510086456, 0.002881844380403458, 0.18011527377521613, 0.001440922190201729, 0.10806916426512968]",6,0.8390300703721313,0.45938426529578347
3,263334,263533,1,[567   2 125],[],[1],"[0.8170028818443804, 0.002881844380403458, 0.18011527377521613]",3,0.4907295444584717,0.3000564741838234
4,264034,264233,1,[  2 123   4 565],[0],[2],"[0.002881844380403458, 0.17723342939481268, 0.005763688760806916, 0.8141210374639769]",4,0.5206611743192744,0.30575372272836754
5,264134,264333,2,[  1   1  89   1  33   1   1   2   1 107   1 456],"[0, 1, 8]","[3, 5, 6, 7, 10]","[0.001440922190201729, 0.001440922190201729, 0.1282420749279539, 0.001440922190201729, 0.04755043227665706, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.15417867435158503, 0.001440922190201729, 0.6570605187319885]",12,1.0552830740202654,0.5257704988829739
6,264184,264383,3,"[  1   1   1  41  47   1  16  17   1   1   1   1   1  46   1  60   1 237
   4 215]","[0, 1, 2, 12]","[1, 5, 8, 9, 10, 11, 14, 16, 18]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.059077809798270896, 0.06772334293948126, 0.001440922190201729, 0.023054755043227664, 0.024495677233429394, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.06628242074927954, 0.001440922190201729, 0.08645533141210375, 0.001440922190201729, 0.3414985590778098, 0.005763688760806916, 0.30979827089337175]",20,1.7821258173759413,0.7662716242141367
7,264234,264433,3,[  1   1   1  87   2  99   1   8   1   1   1 254   2   1   1 169  64],"[0, 1, 2]","[4, 6, 8, 9, 10, 12, 13, 14]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.12536023054755044, 0.002881844380403458, 0.14265129682997119, 0.001440922190201729, 0.011527377521613832, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.3659942363112392, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.24351585014409222, 0.09221902017291066]",17,1.6397870952017923,0.7620111453462781
8,264334,264533,2,[  1 343   4   1   1 270   2  72],[0],"[2, 3, 4, 6]","[0.001440922190201729, 0.4942363112391931, 0.005763688760806916, 0.001440922190201729, 0.001440922190201729, 0.38904899135446686, 0.002881844380403458, 0.1037463976945245]",8,1.025516766440185,0.593560282038718
9,264384,264583,1,[618   3  73],[],[1],"[0.8904899135446686, 0.004322766570605188, 0.10518731988472622]",3,0.3636978354654648,0.19594465529985305
10,264434,264633,1,[282   4 408],[],[1],"[0.40634005763688763, 0.005763688760806916, 0.5878962536023055]",3,0.7079474956567677,0.48923253245189313
11,264484,264683,7,[  1 272   1   8   4  20   1   1   1   1   1  53 330],[0],"[2, 4, 6, 7, 8, 10]","[0.001440922190201729, 0.3919308357348703, 0.001440922190201729, 0.011527377521613832, 0.005763688760806916, 0.02881844380403458, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.07636887608069164, 0.4755043227665706]",13,1.166391896138295,0.6134425167553921
12,264534,264733,10,"[  1 211  49  12   1   3   5   4  16   4   1   1   1   1   1  29   8   1
  15   3  14   6 307]",[0],"[4, 7, 10, 11, 12, 14]","[0.001440922190201729, 0.30403458213256485, 0.07060518731988473, 0.01729106628242075, 0.001440922190201729, 0.004322766570605188, 0.007204610951008645, 0.005763688760806916, 0.023054755043227664, 0.005763688760806916, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.04178674351585014, 0.011527377521613832, 0.001440922190201729, 0.021613832853025938, 0.004322766570605188, 0.020172910662824207, 0.008645533141210375, 0.4423631123919308]",23,1.671292910555605,0.7030620634670166
