,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,39649,39848,1,[  4 113 577],[0],[],"[0.005763688760806916, 0.1628242074927954, 0.8314121037463977]",3,0.47876160210025187,0.2822089710902008
1,40249,40448,1,[553   3 138],[],[1],"[0.7968299711815562, 0.004322766570605188, 0.1988472622478386]",3,0.5256854759829577,0.3255030770125157
2,44699,44898,1,[  1 115   1 577],[0],[2],"[0.001440922190201729, 0.16570605187319884, 0.001440922190201729, 0.8314121037463977]",4,0.47022097702417165,0.2812912656030695
3,56549,56748,2,[328  41   7   1   8 309],[],"[2, 3]","[0.47262247838616717, 0.059077809798270896, 0.010086455331412104, 0.001440922190201729, 0.011527377521613832, 0.4452449567723343]",6,0.9888346748827339,0.5746580405119219
4,56599,56798,3,[311   1  16  41   2   1   4   1   8  24 285],[],"[1, 4, 5, 6, 7]","[0.44812680115273773, 0.001440922190201729, 0.023054755043227664, 0.059077809798270896, 0.002881844380403458, 0.001440922190201729, 0.005763688760806916, 0.001440922190201729, 0.011527377521613832, 0.0345821325648415, 0.4106628242074928]",11,1.2218765967857539,0.6251401473311796
5,56749,56948,1,[386   3 305],[],[1],"[0.5561959654178674, 0.004322766570605188, 0.43948126801152737]",3,0.7111403274452921,0.49748357680904254
6,58199,58398,1,[  1 547   2 144],[0],[2],"[0.001440922190201729, 0.7881844380403458, 0.002881844380403458, 0.207492795389049]",4,0.5402055276179173,0.33570165020887155
7,58499,58698,1,[183   2 509],[],[1],"[0.26368876080691644, 0.002881844380403458, 0.7334293948126801]",3,0.5957308931360321,0.39254125522178573
8,59199,59398,2,[134   3 377   1   1   9 169],[],"[1, 3, 4]","[0.1930835734870317, 0.004322766570605188, 0.5432276657060519, 0.001440922190201729, 0.001440922190201729, 0.012968299711815562, 0.24351585014409222]",7,1.0917648859457787,0.6081314519678762
9,63849,64048,1,[602   1  91],[],[1],"[0.8674351585014409, 0.001440922190201729, 0.13112391930835735]",3,0.39918205104146787,0.23036068732403725
10,67349,67548,1,[389   2 303],[],[1],"[0.5605187319884726, 0.002881844380403458, 0.4365994236311239]",3,0.7031640367344207,0.49519138934797247
11,70149,70348,1,[  1 332   1 360],[0],[2],"[0.001440922190201729, 0.4783861671469741, 0.001440922190201729, 0.5187319884726225]",4,0.7120652443651183,0.50205964670415
12,70849,71048,1,[ 40 462   6 186],[0],[2],"[0.05763688760806916, 0.6657060518731989, 0.008645533141210375, 0.2680115273775216]",4,0.8293226867743195,0.4816085176357249
