,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,31871,32070,1,[243   6 445],[],[1],"[0.35014409221902015, 0.008645533141210375, 0.6412103746397695]",3,0.6934697370037806,0.466173624895149
1,31971,32170,1,[  2 202   4 486],[0],[2],"[0.002881844380403458, 0.2910662824207493, 0.005763688760806916, 0.7002881844380403]",4,0.6552976984084143,0.4248353528390736
2,34571,34770,1,[  1 583   4 106],[0],[2],"[0.001440922190201729, 0.840057636887608, 0.005763688760806916, 0.15273775216138327]",4,0.4725543076787127,0.27093904940660585
3,34621,34820,2,[  1   1 210   1 371   2   2   1 105],"[0, 1]","[3, 5, 6]","[0.001440922190201729, 0.001440922190201729, 0.3025936599423631, 0.001440922190201729, 0.5345821325648416, 0.002881844380403458, 0.002881844380403458, 0.001440922190201729, 0.15129682997118155]",9,1.0536506749638557,0.5997433746646845
4,34771,34970,1,[  1 212   3 478],[0],[2],"[0.001440922190201729, 0.30547550432276654, 0.004322766570605188, 0.6887608069164265]",4,0.6520309558563911,0.4322725045470024
5,41721,41920,1,[498   2 194],[],[1],"[0.7175792507204611, 0.002881844380403458, 0.27953890489913547]",3,0.6113053674553884,0.40692971455622085
6,43721,43920,1,[  3 214   7 470],[0],[2],"[0.004322766570605188, 0.30835734870317005, 0.010086455331412104, 0.6772334293948127]",4,0.6966211800529186,0.4461502047189163
7,49071,49270,1,[  1 544   1 148],[0],[2],"[0.001440922190201729, 0.7838616714697406, 0.001440922190201729, 0.2132564841498559]",4,0.539279155309799,0.34007839945519036
8,54021,54220,1,[528   6 160],[],[1],"[0.760806916426513, 0.008645533141210375, 0.23054755043227665]",3,0.5873405411268524,0.367945917663962
9,56721,56920,1,[  3 558   2 131],[0],[2],"[0.004322766570605188, 0.8040345821325648, 0.002881844380403458, 0.18876080691642652]",4,0.5304758775453541,0.31787075716931457
10,59321,59520,1,[613   2  79],[],[1],"[0.8832853025936599, 0.002881844380403458, 0.1138328530259366]",3,0.3738402884103893,0.20684085076696934
11,63721,63920,1,[372   6 316],[],[1],"[0.5360230547550432, 0.008645533141210375, 0.4553314121037464]",3,0.7335474502785003,0.5052778446793844
12,65771,65970,2,[  1 496   3  99   1   1   8  85],[0],"[2, 4, 5]","[0.001440922190201729, 0.7146974063400576, 0.004322766570605188, 0.14265129682997119, 0.001440922190201729, 0.001440922190201729, 0.011527377521613832, 0.12247838616714697]",8,0.8783001293540547,0.4536994742917889
13,65921,66120,3,[  1  59 437   1   2  25   1  73   1   1   3   5  34   1  50],[0],"[3, 4, 6, 8, 9, 13]","[0.001440922190201729, 0.08501440922190202, 0.6296829971181557, 0.001440922190201729, 0.002881844380403458, 0.03602305475504323, 0.001440922190201729, 0.10518731988472622, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.007204610951008645, 0.04899135446685879, 0.001440922190201729, 0.07204610951008646]",15,1.3271871202036354,0.5762276906211328
14,65971,66170,2,[123   1   2 568],[],[2],"[0.17723342939481268, 0.001440922190201729, 0.002881844380403458, 0.8184438040345822]",4,0.49692450242965575,0.29872766985856536
15,66021,66220,4,[  1  79   4  39   1   1   1  18   3   1  55   1 490],"[0, 9]","[5, 6, 11]","[0.001440922190201729, 0.1138328530259366, 0.005763688760806916, 0.056195965417867436, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.025936599423631124, 0.004322766570605188, 0.001440922190201729, 0.0792507204610951, 0.001440922190201729, 0.7060518731988472]",13,1.0603466617666877,0.47835709955235917
