,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,62668,62867,1,[  2 451   2 239],[0],[2],"[0.002881844380403458, 0.6498559077809798, 0.002881844380403458, 0.34438040345821325]",4,0.6809169925679301,0.4590728267820513
1,64368,64567,1,[  1 537 156],[0],[],"[0.001440922190201729, 0.7737752161383286, 0.22478386167146974]",3,0.5433962920886659,0.3507420541653863
2,64418,64617,3,[  1   1   1 297   1 110   2   1 124 154   2],"[0, 1, 2]","[4, 6, 7]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.42795389048991356, 0.001440922190201729, 0.1585014409221902, 0.002881844380403458, 0.001440922190201729, 0.1786743515850144, 0.2219020172910663, 0.002881844380403458]",11,1.3778185180132443,0.7105407403101097
3,64468,64667,4,[  1   1   1 227   2  68   1 110   2   1 124 151   3   2],"[0, 1, 2]","[4, 6, 8, 9]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.3270893371757925, 0.002881844380403458, 0.09798270893371758, 0.001440922190201729, 0.1585014409221902, 0.002881844380403458, 0.001440922190201729, 0.1786743515850144, 0.21757925072046108, 0.004322766570605188, 0.002881844380403458]",14,1.645898606615073,0.7789700105473844
4,64568,64767,3,[  1   1 378   2  71   1 112   2   1 125],"[0, 1]","[3, 5, 7, 8]","[0.001440922190201729, 0.001440922190201729, 0.5446685878962536, 0.002881844380403458, 0.10230547550432277, 0.001440922190201729, 0.16138328530259366, 0.002881844380403458, 0.001440922190201729, 0.18011527377521613]",10,1.23869104309439,0.6343587273376574
5,64618,64817,1,[621   2  71],[],[1],"[0.8948126801152738, 0.002881844380403458, 0.10230547550432277]",3,0.3495423243227359,0.18883555215972225
6,69018,69217,1,[  1  92   1 600],[0],[2],"[0.001440922190201729, 0.13256484149855907, 0.001440922190201729, 0.8645533141210374]",4,0.41255504088403866,0.2349699773272763
7,75318,75517,1,[  2 587   2 103],[0],[2],"[0.002881844380403458, 0.845821325648415, 0.002881844380403458, 0.1484149855907781]",4,0.4584816957388148,0.2625426670763814
8,75468,75667,2,[  1   1 439   3 145   2  91   1  11],"[0, 1]","[3, 5, 7]","[0.001440922190201729, 0.001440922190201729, 0.6325648414985591, 0.004322766570605188, 0.20893371757925072, 0.002881844380403458, 0.13112391930835735, 0.001440922190201729, 0.01585014409221902]",9,1.0175889211524485,0.5387304935677566
9,75518,75717,2,[  1 508   2  23   3   1   1  88   2  65],"[0, 6]","[2, 4, 5, 8]","[0.001440922190201729, 0.7319884726224783, 0.002881844380403458, 0.03314121037463977, 0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.12680115273775217, 0.002881844380403458, 0.0936599423631124]",10,0.9104688190921331,0.43820229384846654
