,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,185360,185559,2,[  2   1 144   1   1   3 542],"[0, 1]","[3, 4]","[0.002881844380403458, 0.001440922190201729, 0.207492795389049, 0.001440922190201729, 0.001440922190201729, 0.004322766570605188, 0.7809798270893372]",7,0.5880491663477893,0.34698402943301576
1,185660,185859,1,[  6  95   2 591],[0],[2],"[0.008645533141210375, 0.13688760806916425, 0.002881844380403458, 0.8515850144092219]",4,0.46695550205501246,0.2559816957204196
2,190160,190359,1,[613   2  79],[],[1],"[0.8832853025936599, 0.002881844380403458, 0.1138328530259366]",3,0.3738402884103893,0.20684085076696934
3,196110,196309,6,[  3   1   1 559   1  10   1   2   1   1 114],"[0, 1, 2]","[5, 6, 7, 8, 9]","[0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.8054755043227666, 0.001440922190201729, 0.01440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.1642651296829971]",11,0.6289962245302374,0.3239791045519852
4,196160,196359,10,[  3   1   1 559   1   8   1   1   1   2   1   1   2   1   1 110],"[0, 1, 2]","[5, 6, 7, 8, 9, 10, 11, 13, 14]","[0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.8054755043227666, 0.001440922190201729, 0.011527377521613832, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.1585014409221902]",16,0.6691659754166763,0.32589756579657647
5,196210,196409,12,"[  1   1   1   1   1 559   1   3   2   1   2   1   1   1   2   1   1   2
   1   1  14  96]","[0, 1, 2, 3, 4]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.8054755043227666, 0.001440922190201729, 0.004322766570605188, 0.002881844380403458, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.001440922190201729, 0.020172910662824207, 0.138328530259366]",22,0.7495572648299886,0.33158650931408773
6,196310,196509,6,[  1   1   1 565   3   3   1   1   5   1   1  14  97],"[0, 1, 2]","[4, 5, 6, 7, 8, 9, 10]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.8141210374639769, 0.004322766570605188, 0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.007204610951008645, 0.001440922190201729, 0.001440922190201729, 0.020172910662824207, 0.13976945244956773]",13,0.6697930427526835,0.3171606773580049
7,196360,196559,2,[  1 583   3   1   1 105],[0],"[2, 3, 4]","[0.001440922190201729, 0.840057636887608, 0.004322766570605188, 0.001440922190201729, 0.001440922190201729, 0.15129682997118155]",6,0.4839491892173501,0.2713875208663806
8,202260,202459,2,[  2 449   2   2 163  76],[0],"[2, 3]","[0.002881844380403458, 0.6469740634005764, 0.002881844380403458, 0.002881844380403458, 0.23487031700288186, 0.10951008645533142]",6,0.9147642137158891,0.5142431213613601
9,207360,207559,1,[  4 485   1 204],[0],[2],"[0.005763688760806916, 0.6988472622478387, 0.001440922190201729, 0.29394812680115273]",4,0.6494548592195148,0.42517170643390434
