,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,60517,60716,4,[  1 172  18   4 248   2  35   1 193  20],"[0, 7]","[3, 5]","[0.001440922190201729, 0.2478386167146974, 0.025936599423631124, 0.005763688760806916, 0.3573487031700288, 0.002881844380403458, 0.05043227665706052, 0.001440922190201729, 0.2780979827089337, 0.02881844380403458]",10,1.4823731469759516,0.7294471343504223
1,60567,60766,1,[  1 618   2  73],[0],[2],"[0.001440922190201729, 0.8904899135446686, 0.002881844380403458, 0.10518731988472622]",4,0.3664493376338862,0.19595296032688592
2,61467,61666,1,[  1 236   1 456],[0],[2],"[0.001440922190201729, 0.3400576368876081, 0.001440922190201729, 0.6570605187319885]",4,0.6616059271860495,0.4526281258045495
3,62017,62216,1,[  1 620   2  71],[0],[2],"[0.001440922190201729, 0.8933717579250721, 0.002881844380403458, 0.10230547550432277]",4,0.36024913339539477,0.19141011053990975
4,62317,62516,1,[  1  85   2 606],[0],[2],"[0.001440922190201729, 0.12247838616714697, 0.002881844380403458, 0.8731988472622478]",4,0.4018654436180418,0.22251243677798171
5,62917,63116,1,[  1 233   3 457],[0],[2],"[0.001440922190201729, 0.3357348703170029, 0.004322766570605188, 0.6585014409221902]",4,0.6745063896343779,0.4536371865890424
6,63267,63466,1,[615   3  76],[],[1],"[0.8861671469740634, 0.004322766570605188, 0.10951008645533142]",3,0.3728332495143348,0.20269664227757056
7,64317,64516,1,[  2 431   3 258],[0],[2],"[0.002881844380403458, 0.6210374639769453, 0.004322766570605188, 0.37175792507204614]",4,0.7040882559367514,0.4760815221453545
8,65417,65616,1,[520   3 171],[],[1],"[0.7492795389048992, 0.004322766570605188, 0.24639769452449567]",3,0.5849629013609757,0.3778496624006511
9,66017,66216,1,[623   1  70],[],[1],"[0.8976945244956772, 0.001440922190201729, 0.10086455331412104]",3,0.3376922081321094,0.18396880631846457
10,67367,67566,1,[607  87],[],[],"[0.8746397694524496, 0.12536023054755044]",2,0.3774705448064237,0.21929008628923086
11,67417,67616,2,[465   1 141  60  27],[],[1],"[0.670028818443804, 0.001440922190201729, 0.20317002881844382, 0.08645533141210375, 0.03890489913544669]",5,0.9394880883787278,0.5007931300816384
12,67567,67766,1,[525   1 168],[],[1],"[0.7564841498559077, 0.001440922190201729, 0.2420749279538905]",3,0.5639272394688363,0.36912938401614503
13,68817,69016,2,[  1 348   2 106   3 230   4],[0],"[2, 4]","[0.001440922190201729, 0.5014409221902018, 0.002881844380403458, 0.15273775216138327, 0.004322766570605188, 0.3314121037463977, 0.005763688760806916]",7,1.078672887507763,0.6153319104053683
14,69017,69216,1,[  1 483   4 206],[0],[2],"[0.001440922190201729, 0.6959654178674352, 0.005763688760806916, 0.2968299711815562]",4,0.6519305888507154,0.4274888089760732
15,71317,71516,2,[  1   1  86   2   1 457   6 140],"[0, 1, 4]","[3, 6]","[0.001440922190201729, 0.001440922190201729, 0.1239193083573487, 0.002881844380403458, 0.001440922190201729, 0.6585014409221902, 0.008645533141210375, 0.2017291066282421]",8,0.9430181169070293,0.5102359458180037
16,71367,71566,3,[  1   1  86   2   1 443  14   3   3 140],"[0, 1, 4]","[3, 7, 8]","[0.001440922190201729, 0.001440922190201729, 0.1239193083573487, 0.002881844380403458, 0.001440922190201729, 0.638328530259366, 0.020172910662824207, 0.004322766570605188, 0.004322766570605188, 0.2017291066282421]",10,1.0391866788341222,0.5360272072685597
17,71517,71716,2,[113   2 418   3 158],[],"[1, 3]","[0.1628242074927954, 0.002881844380403458, 0.6023054755043228, 0.004322766570605188, 0.2276657060518732]",5,0.978209411868148,0.5588577265819
18,71567,71766,1,[113   2 579],[],[1],"[0.1628242074927954, 0.002881844380403458, 0.8342939481268011]",3,0.46354508386360765,0.2774335805463046
19,72217,72416,1,[  1 367   3 323],[0],[2],"[0.001440922190201729, 0.5288184438040345, 0.004322766570605188, 0.4654178674351585]",4,0.7258360303872806,0.5037164995972062
20,72567,72766,1,[582   3 109],[],[1],"[0.8386167146974063, 0.004322766570605188, 0.15706051873198848]",3,0.46186885300150515,0.2720353129749439
21,72817,73016,1,[517 177],[],[],"[0.7449567723342939, 0.25504322766570603]",2,0.5678081726301105,0.37999235937512976
22,73017,73216,1,[520   2 172],[],[1],"[0.7492795389048992, 0.002881844380403458, 0.2478386167146974]",3,0.5788605391922803,0.3771478876163742
23,74467,74666,1,[  2 592 100],[0],[],"[0.002881844380403458, 0.8530259365994236, 0.1440922190201729]",3,0.43160850112458493,0.25157587887948585
24,74567,74766,2,[  1   1 574   1  17  42   2  56],"[0, 1]","[1, 3, 6]","[0.001440922190201729, 0.001440922190201729, 0.8270893371757925, 0.001440922190201729, 0.024495677233429394, 0.06051873198847262, 0.002881844380403458, 0.08069164265129683]",8,0.665869635799922,0.30513499821441914
25,74617,74816,3,[  1   1 561   1  12   1  17  39   3   2  56],"[0, 1]","[1, 3, 5, 9]","[0.001440922190201729, 0.001440922190201729, 0.80835734870317, 0.001440922190201729, 0.01729106628242075, 0.001440922190201729, 0.024495677233429394, 0.056195965417867436, 0.004322766570605188, 0.002881844380403458, 0.08069164265129683]",11,0.7759911755615694,0.3359549535333738
26,74667,74866,3,[499   1 100   1  16   3   1  73],[],"[1, 3, 5, 6]","[0.7190201729106628, 0.001440922190201729, 0.1440922190201729, 0.001440922190201729, 0.023054755043227664, 0.004322766570605188, 0.001440922190201729, 0.10518731988472622]",8,0.8919413322582594,0.4506266142896296
27,74767,74966,2,[499   1 100   4  90],[],"[1, 3]","[0.7190201729106628, 0.001440922190201729, 0.1440922190201729, 0.005763688760806916, 0.12968299711815562]",5,0.8203746865110979,0.44539444725892596
28,74817,75016,1,[593   1 100],[],[1],"[0.8544668587896254, 0.001440922190201729, 0.1440922190201729]",3,0.42296576856954177,0.2491217433912748
29,74867,75066,1,[  5 205   4 480],[0],[2],"[0.007204610951008645, 0.2953890489913545, 0.005763688760806916, 0.69164265129683]",4,0.6804737723181109,0.4342906261159879
30,75217,75416,1,[  1  97   4 592],[0],[2],"[0.001440922190201729, 0.13976945244956773, 0.005763688760806916, 0.8530259365994236]",4,0.44978021668743995,0.2527759552857345
31,75567,75766,1,[597   1  96],[],[1],"[0.8602305475504323, 0.001440922190201729, 0.138328530259366]",3,0.41257002523836683,0.2408665465206089
32,77967,78166,4,[  1   1 100   5 130   1 143   1  81  15   1   1   2   1   2 202   6   1],"[0, 1]","[3, 5, 7, 10, 11, 12, 13]","[0.001440922190201729, 0.001440922190201729, 0.1440922190201729, 0.007204610951008645, 0.1873198847262248, 0.001440922190201729, 0.20605187319884727, 0.001440922190201729, 0.11671469740634005, 0.021613832853025938, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.002881844380403458, 0.2910662824207493, 0.008645533141210375, 0.001440922190201729]",18,1.7969462777906313,0.8027223878613725
33,78017,78216,5,"[  1   1 100   5 130   1 143   1  81  15   1   1   2   1   2  89 113   6
   1]","[0, 1]","[3, 5, 7, 10, 11, 12, 13]","[0.001440922190201729, 0.001440922190201729, 0.1440922190201729, 0.007204610951008645, 0.1873198847262248, 0.001440922190201729, 0.20605187319884727, 0.001440922190201729, 0.11671469740634005, 0.021613832853025938, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.002881844380403458, 0.1282420749279539, 0.1628242074927954, 0.008645533141210375, 0.001440922190201729]",19,1.9966388058228912,0.844484216296124
34,78067,78266,6,"[  1   1  33  67   4   1   1 129   1  17 126   1   1   1   1  78  15   1
   1   2   1   2   7  82   1 112   6   1]","[0, 1, 6, 12]","[4, 5, 8, 11, 14, 17, 18, 19, 20, 24]","[0.001440922190201729, 0.001440922190201729, 0.04755043227665706, 0.09654178674351585, 0.005763688760806916, 0.001440922190201729, 0.001440922190201729, 0.18587896253602307, 0.001440922190201729, 0.024495677233429394, 0.18155619596541786, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.11239193083573487, 0.021613832853025938, 0.001440922190201729, 0.001440922190201729, 0.002881844380403458, 0.001440922190201729, 0.002881844380403458, 0.010086455331412104, 0.11815561959654179, 0.001440922190201729, 0.16138328530259366, 0.008645533141210375, 0.001440922190201729]",28,2.242028603590952,0.8669451619065021
